"StartDate","EndDate","Status","Duration__in_seconds_","consent","age","gender","Partner_Availabilty1","Partner_Availabilty2","FearBeingSingle1","FearBeingSingle2","FearBeingSingle3","DAuse","RsStatus","SexOrient","Q_TotalDuration","Dummy_Relationship","Dummy_Female","PartnerAvail","FOBS","c_PAmany","RsStatus_inRShip","Gndr_F"
2019-12-10 14:27:47,2019-12-10 14:48:40,0,1252,1,48,2,4,4,1,5,5,1,2,1,1252,1,1,4,3.66666666666667,1.1139,1,1
2019-12-10 15:44:12,2019-12-10 16:30:25,0,2772,1,44,1,1,1,3,3,3,1,2,1,2772,1,0,1,3,-1.8861,1,0
2019-12-12 12:52:42,2019-12-12 12:59:17,0,394,1,41,1,5,5,2,3,3,1,2,1,394,1,0,5,2.66666666666667,2.1139,1,0
2019-12-06 17:26:03,2019-12-06 18:00:16,0,2052,1,57,1,1,1,3,2,2,1,2,1,2052,1,0,1,2.33333333333333,-1.8861,1,0
2019-12-06 22:58:13,2019-12-06 23:22:30,0,1457,1,58,1,1,2,4,3,4,1,2,1,1457,1,0,1.5,3.66666666666667,-1.3861,1,0
2019-12-10 13:41:30,2019-12-10 13:52:42,0,671,1,29,1,1,1,1,5,1,1,2,1,671,1,0,1,2.33333333333333,-1.8861,1,0
2019-12-11 13:21:06,2019-12-11 13:43:47,0,1360,1,59,1,5,5,2,2,2,1,2,1,1360,1,0,5,2,2.1139,1,0
2019-12-05 13:43:29,2019-12-05 14:04:48,0,1278,1,19,1,5,3,1,1,1,1,2,1,1278,1,0,4,1,1.1139,1,0
2019-12-05 14:05:10,2019-12-05 14:26:13,0,1263,1,63,1,1,4,5,5,5,1,2,1,1263,1,0,2.5,5,-0.3861,1,0
2019-12-06 23:04:00,2019-12-06 23:35:34,0,1894,1,62,2,2,2,1,1,1,1,2,1,1894,1,1,2,1,-0.8861,1,1
